Subject,Age,BFI1,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI2,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI3,BFI30,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,Education,Ethnicity_1,Ethnicity_2_01,Ethnicity_2_02,Ethnicity_2_03,Ethnicity_2_04,Ethnicity_2_05,Ethnicity_2_06,Gender,PO_Econ,PO_Gen,PO_Soc,a01accon,a01acinc,a01incon,a01ininc,a02accon,a02acinc,a02incon,a02ininc,a03accon,a03acinc,a03incon,a03ininc,a04accon,a04acinc,a04incon,a04ininc,a05accon,a05acinc,a05incon,a05ininc,a06accon,a06acinc,a06incon,a06ininc,a07accon,a07acinc,a07incon,a07ininc,a08accon,a08acinc,a08incon,a08ininc,a09accon,a09acinc,a09incon,a09ininc,a10accon,a10acinc,a10incon,a10ininc,a11accon,a11acinc,a11incon,a11ininc,a12accon,a12acinc,a12incon,a12ininc,ta01accon,ta01acinc,ta01incon,ta01ininc,ta02accon,ta02acinc,ta02incon,ta02ininc,ta03accon,ta03acinc,ta03incon,ta03ininc,ta04accon,ta04acinc,ta04incon,ta04ininc,ta05accon,ta05acinc,ta05incon,ta05ininc,ta06accon,ta06acinc,ta06incon,ta06ininc,ta07accon,ta07acinc,ta07incon,ta07ininc,ta08accon,ta08acinc,ta08incon,ta08ininc,ta09accon,ta09acinc,ta09incon,ta09ininc,ta10accon,ta10acinc,ta10incon,ta10ininc,ta11accon,ta11acinc,ta11incon,ta11ininc,ta12accon,ta12acinc,ta12incon,ta12ininc,td01accon,td01acinc,td01incon,td01ininc,td02accon,td02acinc,td02incon,td02ininc,td03accon,td03acinc,td03incon,td03ininc,td04accon,td04acinc,td04incon,td04ininc,td05accon,td05acinc,td05incon,td05ininc,td06accon,td06acinc,td06incon,td06ininc,td07accon,td07acinc,td07incon,td07ininc,td08accon,td08acinc,td08incon,td08ininc,td09accon,td09acinc,td09incon,td09ininc,td10accon,td10acinc,td10incon,td10ininc,td11accon,td11acinc,td11incon,td11ininc,td12accon,td12acinc,td12incon,td12ininc,missing_data,sum_action_proscript_greatbenef,sum_action_proscript_smallbenef,sum_action_prescript_greatbenef,sum_action_prescript_smallbenef,sum_inaction_proscript_greatbenef,sum_inaction_proscript_smallbenef,sum_inaction_prescript_greatbenef,sum_inaction_prescript_smallbenef,C,I,N,BFI1R,BFI21R,BFI26R,BFI7R,BFI17R,BFI27R,BFI3R,BFI8R,BFI28R,BFI14R,BFI19R,BFI24R,BFI10R,BFI20R,BFI30R,Extra,Agree,Con,Neuro,Open,C_artificial,N_artificial,I_artificial
118,18.0,3,2,3,4,4,3,4,3,2,4,3,4,2,3,4,4,4,4,2,3,3,3,2,2,4,5,3,3,3,2,2,2,1,0,0,0,0,0,2,4,4,4,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,3267,36624,7791,7022,4753,4306,3637,14237,2353,2185,18830,3406,6507,4331,6826,4909,3942,2766,4360,6448,1434,4283,2347,6347,2813,9631,8703,24279,11022,2606,3343,5668,2817,2119,21788,2419,1765,5215,2222,3044,3489,5118,10175,12400,3727,3858,2301,3548,14984,11362,12226,12453,17405,11953,17931,16888,18361,10752,19688,29309,14168,16117,13689,9815,23994,13982,14233,15343,19898,14860,15472,15888,30567,18990,23278,23544,37181,17516,17686,19460,22885,12563,18524,18260,17429,17211,22233,28469,21284,21952,23054,26310,20175,18690,14202,14584,0,0,1,11,9,12,11,1,3,0.0,0.8,0.79167,3,3,4,3,4,3,4,3,3,3,3,2,4,4,4,3.16666666666667,3.66666666666667,3.66666666666667,2.83333333333333,4.16666666666667,0.237,0.944,0.591
119,20.0,2,3,4,4,4,4,4,5,1,5,3,4,4,2,5,5,5,4,1,3,2,2,1,3,4,3,4,2,2,2,2,2,1,0,0,0,0,0,2,6,6,3,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3662,2582,1477,2893,2573,2867,2593,5331,2924,1775,2792,7170,2114,1472,5166,8273,3983,3773,4399,7800,2102,1588,2703,2670,2593,2493,3622,6448,2264,1474,2643,5481,3226,2016,6421,3098,1765,1887,1911,3271,2459,4531,7276,2830,1872,2601,1898,2560,11060,15785,17023,9575,14824,11686,17074,18877,15957,14680,16821,24326,9872,21278,19013,15695,20563,11832,14985,20961,12281,8017,15577,21698,5464,26106,30896,14917,32186,10543,7505,7206,5812,8598,22036,18160,13255,20568,16132,42475,7228,10289,27083,29653,33544,12150,18145,34326,0,2,1,11,10,10,11,1,2,0.08333,0.5,0.81818,4,4,5,4,5,3,5,4,4,2,3,1,3,2,3,4.33333333333333,4.16666666666667,4.5,2.33333333333333,3.16666666666667,0.083,1.0,0.917
120,18.0,4,1,3,5,4,2,3,3,4,4,3,4,1,4,4,4,3,4,4,2,3,4,3,2,4,4,2,4,4,3,2,1,0,0,0,0,0,<Cancel>,2,3,4,4,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2965,2590,2256,2477,2891,3117,4061,12059,1890,1659,3311,5484,5015,2402,59135,2906,13593,27341,2829,30903,1821,1866,2169,5026,2966,27269,30351,6080,3205,2114,2235,2357,46455,1952,15642,16157,2566,2764,2521,3671,3137,2280,7738,9504,6145,2191,2074,5678,13329,27187,15861,37361,13270,13837,32816,20598,31299,14672,43991,62899,10858,19440,73797,16326,28671,34411,23640,37313,43584,9970,18093,82258,14549,84314,45641,41465,32920,40343,26409,18206,52025,11540,57046,19543,28479,28629,19308,107318,24064,18268,46434,22750,27371,13217,22186,53772,0,10,2,10,3,2,10,2,9,0.6248,0.44304,0.10228,2,2,2,2,2,4,3,2,3,4,3,3,5,5,4,2.33333333333333,3.5,3.33333333333333,3.5,4.16666666666667,0.183,0.917,0.775
121,19.0,4,3,5,2,4,2,4,5,4,4,2,5,4,4,5,5,4,3,2,2,3,3,2,4,4,4,3,1,3,4,3,2,0,0,0,1,0,0,2,7,5,7,1,2,1,1,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2032,10888,1846,8204,3232,3607,11074,12579,2348,3953,6958,6344,2624,11481,9492,7046,5248,6626,2624,8216,8452,3017,2049,3715,3805,12029,3919,2828,6175,2100,2976,3979,3230,2955,5730,4452,2212,2285,6813,8794,4819,7891,7280,4413,2471,3714,4969,2085,3439,24108,13298,11721,10782,4448,5053,50130,17466,6415,1665,32726,12295,1874,33243,11843,2522,34548,4860,26797,3064,17173,7166,41588,3632,2148,41498,3171,1219,32608,4354,2657,9367,2437,36976,6250,5312,2674,2344,55580,1768,8047,25625,3199,5223,2383,6049,45549,0,3,2,11,11,9,10,1,1,0.02682,0.27068,0.72728,2,2,4,5,2,4,4,3,3,4,4,2,3,2,2,3.5,3.83333333333333,3.83333333333333,3.5,3.0,0.083,1.0,0.875
122,18.0,1,3,5,5,5,4,4,5,2,2,4,4,4,2,5,4,4,4,2,2,2,2,4,2,4,4,4,2,5,2,2,2,1,0,0,0,0,0,2,4,4,4,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,3000,4125,2033,6391,3251,2752,2376,5624,3566,2540,2484,3600,3297,1797,3502,5509,3083,2728,3909,5113,2519,2760,2541,20759,3102,26279,4784,7170,3174,1591,2969,3281,2486,5937,5285,44701,2165,3234,3482,17637,5547,11108,7653,10644,3107,2170,2156,3121,19515,22940,19184,20043,14221,17685,27787,38869,23980,20610,27595,37012,21876,23845,47666,16035,22905,19884,22174,41123,20984,30334,20227,48662,49628,45596,48982,31815,44957,33126,33683,39247,32028,21208,38674,40453,34819,28438,25785,61988,32532,26282,34607,28389,28318,15381,18331,50069,0,4,1,12,5,8,11,0,7,0.43325,0.0,0.90688,5,4,4,4,4,4,2,1,4,2,2,2,3,2,4,4.5,4.33333333333333,3.0,2.33333333333333,3.5,0.17,0.833,0.788
123,19.0,4,2,3,4,4,5,4,4,4,5,3,5,2,1,5,5,4,5,3,2,4,3,2,1,4,5,4,2,2,1,2,2,0,0,0,1,0,0,2,5,3,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2747,7831,5150,4224,32359,2282,14394,5313,2798,2500,5806,6754,4308,12606,2749,2194,40594,16454,3393,5441,15782,1637,2703,3387,3395,2565,10825,4665,1528,8415,3947,5524,4493,2174,16052,2738,8938,2126,1445,8454,1964,7103,5159,6479,4691,12835,7549,6574,15629,83025,37226,19712,35860,12577,24734,14275,24000,14126,17078,12578,10278,13834,23392,12491,18216,10169,10151,26065,76059,14762,47310,33382,27284,46574,40661,77340,22831,24061,18467,18678,29037,25749,26306,13954,14115,34146,31792,25090,16969,19300,22438,11937,18744,13325,15152,23681,0,6,3,7,4,6,9,5,8,0.25,0.625,0.11112,2,5,3,4,2,4,4,4,2,1,3,2,4,4,5,3.5,4.0,4.0,2.33333333333333,4.5,0.136,0.9,0.739
124,18.0,4,3,4,4,4,1,4,3,1,4,2,5,2,5,5,5,1,5,4,3,3,5,3,2,5,4,1,1,4,5,3,2,1,0,0,1,0,0,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2720,4970,1568,2612,2256,4831,4611,11567,3378,2911,5283,2986,2493,1989,3696,4356,2326,2203,2612,8493,1423,2115,3095,2891,2059,2553,6200,2563,2829,1725,1799,3803,1842,1425,5838,5251,2516,3425,2016,2922,7554,4213,7675,5331,1966,2469,2177,5547,14216,21689,16007,20375,13205,16127,27505,25733,19553,19229,35256,36328,15151,23504,21938,17611,35355,15541,14568,22708,17441,8529,19380,47044,19408,28924,40263,22653,51217,22879,19918,24814,19876,15889,38383,20011,29629,22483,23970,68127,30005,22273,34629,24477,26083,18670,20374,48313,0,1,0,11,10,11,12,1,2,0.08333,1.0,0.90909,2,1,2,5,5,3,3,2,3,5,4,5,3,4,4,2.16666666666667,4.5,3.5,4.83333333333333,4.0,0.208,0.917,0.875
125,18.0,4,1,3,5,5,3,4,4,1,4,3,5,3,1,5,3,1,5,5,2,3,3,2,1,5,5,5,1,5,3,3,1,1,0,0,0,0,0,2,5,2,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1864,11518,2337,4362,1977,4005,4107,6337,4413,5126,1974,10633,849,1866,3749,3165,2647,2081,22294,3773,1668,1531,5223,5637,4144,2593,1941,3552,3891,1823,2452,2423,2806,2328,11084,1681,4186,969,3282,2204,4730,4229,9327,1262,4024,1895,4475,2025,12654,20003,31205,11944,19190,67247,37347,27879,14705,21070,19114,26155,13122,10005,99006,12936,19960,21616,15374,18299,16882,37188,21063,61809,12547,31097,91749,23661,41479,26673,24202,34251,16671,14823,34013,21012,29796,11898,38737,47669,70240,59924,24718,31817,29242,17835,23860,31995,0,5,5,6,4,7,7,6,8,0.08333,0.59091,0.0,2,5,1,5,5,4,4,1,3,3,3,5,5,3,5,3.33333333333333,4.83333333333333,3.33333333333333,3.66666666666667,4.5,0.091,1.0,0.818
126,19.0,4,2,3,4,2,3,3,3,4,3,3,3,2,3,4,3,2,3,4,3,4,3,3,2,4,5,2,4,4,4,2,2,0,0,0,1,0,0,3,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1486,13944,1861,15142,21761,13941,8626,76483,1734,1405,14984,3326,2746,1601,2146,1826,1849,1251,5352,2642,2827,10922,2157,3896,1609,3317,3351,5392,2741,1629,1358,1642,2583,16247,4130,4040,1746,6641,1702,7062,5039,27110,8223,12013,2372,8875,1234,2835,7414,97306,27967,30252,24705,14918,28765,74154,17234,8797,28274,32566,15815,28889,29047,6638,38548,16120,10773,37599,26129,10322,13602,79011,12702,18436,42980,15517,28701,14552,10446,13687,9174,10717,50166,13250,18624,21157,8080,98167,27299,44484,19853,59785,34783,26169,31759,59778,0,7,2,10,6,5,10,2,6,0.37406,0.45532,0.46404,2,3,2,2,2,3,3,2,2,3,3,4,4,4,4,2.5,3.0,2.5,3.5,3.83333333333333,0.083,0.917,0.867
127,19.0,4,2,3,4,4,3,2,2,1,3,2,5,2,4,5,4,4,4,4,3,2,3,3,4,4,4,3,2,2,2,3,2,1,0,0,0,0,0,2,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,2415,13159,3982,10378,5166,4081,3677,8034,2478,1565,2964,3233,1568,3317,10128,3464,3394,2554,7549,4548,7514,1353,3703,5061,2402,6143,4642,5758,4615,1933,2087,3304,4758,2180,16530,2270,2825,3331,2185,2946,3370,3345,6394,11420,3175,15423,2281,4249,11300,24610,19010,14860,29621,14982,24484,20963,20885,21485,22735,41018,13478,40587,27524,18585,41440,27769,23190,34609,25038,33986,24469,56370,23608,38922,46879,21370,39231,21970,13464,23469,26553,18294,34474,38219,20354,41449,31852,45362,27307,17592,41390,29234,24652,26124,26222,28912,0,5,0,11,8,7,12,1,4,0.34532,1.0,0.90173,2,2,2,4,5,3,3,4,4,3,4,2,4,4,2,2.33333333333333,4.33333333333333,3.66666666666667,3.0,3.33333333333333,0.167,1.0,0.708
128,18.0,4,2,4,4,4,4,3,2,1,4,2,4,2,4,4,4,4,2,5,4,2,3,2,2,4,4,2,1,3,2,2,2,0,0,0,1,0,0,2,6,6,5,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,4264,6329,2204,1916,3561,4321,4795,8296,4933,2865,4881,9032,3700,2764,3154,5235,3295,2748,2604,5405,9866,1949,4399,2241,3733,4603,11577,1760,3798,3815,3292,3167,4990,1847,9012,4583,2165,2210,8788,2615,3855,4764,5946,3863,3110,1802,1678,14622,2984,17232,3241,12535,4194,7661,6283,24718,2346,4846,3472,18265,3655,5331,18409,2210,4867,3963,2457,6958,5106,2362,4432,12066,1376,3741,15869,4806,23347,4255,3613,2607,13191,4481,24425,4660,3089,9425,3704,7648,10705,3181,21178,3225,8983,3156,1302,12850,0,1,1,9,7,11,11,3,5,0.04433,0.82357,0.60727,2,2,1,5,5,2,4,3,4,2,4,2,4,4,4,2.16666666666667,4.0,3.83333333333333,2.83333333333333,3.5,0.136,1.0,0.78
129,18.0,3,2,5,4,4,4,3,4,1,4,4,4,2,2,4,4,4,4,1,2,2,2,2,2,3,4,4,2,3,2,2,2,1,0,0,0,0,0,1,3,4,3,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2063,3054,3114,2830,2609,3780,2683,7062,2735,2396,3313,3267,2034,1960,3476,1960,3133,4874,2641,3089,1687,1652,2164,3375,1942,3860,2779,4465,2533,1752,2343,2438,3700,1565,9530,2411,2105,2408,1632,1650,5467,3422,7721,4091,1448,3124,1474,2092,8270,16964,9341,12630,10890,9096,12639,23439,12171,10931,15114,21808,11511,13528,19132,10757,18683,14547,12892,31083,8938,9978,14024,24236,14700,22826,25827,17918,27485,12677,8734,14002,18846,8658,24186,17581,12343,17204,7997,28567,16683,10376,28954,18189,13490,11080,23943,19875,0,4,3,9,7,8,9,3,5,0.12363,0.53696,0.42738,3,4,5,4,5,4,4,3,4,2,2,2,4,4,4,4.16666666666667,4.16666666666667,3.83333333333333,2.16666666666667,3.83333333333333,0.125,0.875,0.792
130,18.0,2,1,4,3,4,3,5,4,4,4,2,4,2,2,4,5,4,4,1,3,2,4,2,1,2,3,4,3,2,1,2,2,0,0,0,1,0,0,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,9563,2059,3360,3000,1826,2932,3622,7559,1769,3626,4063,4996,1727,1586,15967,3580,3900,1802,3640,4269,1910,2024,3751,6756,2000,2107,3776,2672,1612,1735,4159,4600,2686,1484,13932,1700,2145,1872,2144,3979,3410,3097,8379,2047,2125,2025,1411,2186,15299,24459,26574,19039,17183,14877,15413,32682,23120,27935,23941,27034,15646,14213,38093,18293,27060,22743,16647,24114,12938,8885,17281,48049,29671,30553,35373,25213,54790,38954,22419,33772,21740,19673,40608,18216,24126,16458,32596,47206,23936,16112,36790,21395,14809,7925,15031,27456,0,2,2,10,9,10,10,2,3,0.03838,0.55696,0.64973,4,4,5,3,2,3,4,4,4,3,4,2,5,4,5,4.16666666666667,3.16666666666667,4.16666666666667,2.66666666666667,4.33333333333333,0.325,0.833,0.6
131,19.0,3,4,4,3,4,1,4,5,3,1,1,5,1,1,4,3,1,3,5,5,5,5,5,1,5,4,5,3,5,5,3,2,0,0,0,1,0,0,2,4,4,4,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2578,3173,1484,2260,2987,3825,2361,7449,2008,1669,2875,4783,1907,2441,2297,1668,3220,2468,3041,2985,2417,1632,2064,4282,4422,9050,7872,5743,3155,1731,1614,3961,3859,2025,15953,3079,2547,3486,2005,2221,2735,2446,6428,6906,2532,2225,1943,1512,6280,41259,9519,26573,6297,9219,14251,33933,73938,7282,29454,77694,12290,8233,24351,6365,51562,82510,33342,26356,27631,9152,14987,45376,22932,49191,22876,73389,22361,36111,48024,9767,12560,8788,45808,10372,22641,15678,14016,74405,18281,12467,27057,32143,30265,11551,15337,32273,0,6,3,10,6,6,9,2,6,0.29316,0.43916,0.41474,3,5,1,3,3,1,1,1,1,5,5,5,2,5,5,3.83333333333333,3.16666666666667,1.83333333333333,5.0,3.83333333333333,0.178,0.913,0.822
132,18.0,2,1,3,2,4,4,2,4,1,2,5,5,1,2,4,2,5,4,4,1,4,2,4,1,2,5,4,4,4,2,3,1,0,0,1,0,0,0,1,5,3,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1983,5028,1795,4795,2682,3504,6008,12248,3001,3109,3394,5477,2344,11357,6190,2045,7045,13879,3246,26844,8487,2134,2561,20309,2514,5786,4266,5083,5582,1737,6923,3130,3037,3365,51305,3141,1994,3172,2335,11121,3705,5514,8690,20015,3033,2466,1967,37205,8036,18707,8880,15546,9813,19219,19609,21592,17142,11067,22747,18388,16774,13878,21703,16877,34735,20583,15744,16463,20851,14058,16977,21194,15858,35915,27470,19563,31308,21488,13916,22154,28969,12195,54049,19849,21240,18100,23077,32862,23236,16003,24053,28781,20231,13826,19509,26986,0,8,1,11,3,4,11,1,9,0.62431,0.56713,0.54898,4,4,2,2,5,5,2,2,2,2,1,1,5,5,5,3.5,3.83333333333333,2.33333333333333,1.66666666666667,4.33333333333333,0.292,0.917,0.523
133,18.0,3,2,2,4,5,5,2,2,1,2,5,5,1,2,5,5,5,5,1,2,1,1,4,4,1,5,4,4,4,2,2,2,1,0,0,0,0,0,1,4,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,4233,1898,1910,24216,2422,10226,3001,10225,2760,1583,2490,3630,3478,2409,3512,2643,1912,2813,3122,2517,1417,1334,7545,2549,1861,5094,3797,4425,3506,2767,1990,13186,7434,1229,31249,3879,2815,19607,1733,32025,2269,1934,12588,4639,3187,1607,1841,4770,9141,30222,11945,23506,14841,12438,18078,36842,26139,11343,21326,45251,17647,15703,34149,15913,35516,14050,30016,46941,15538,8102,15792,24677,23017,50644,27145,33589,40219,20690,15793,26009,20967,12801,39979,12955,17268,16477,23484,69203,14673,12782,25625,19710,30853,10029,18332,42838,0,7,0,10,5,5,12,2,7,0.51326,1.0,0.72449,3,4,5,2,5,4,2,2,5,1,1,1,4,5,2,3.33333333333333,4.16666666666667,3.5,1.16666666666667,3.83333333333333,0.167,0.958,0.739
134,18.0,2,2,4,5,4,5,4,4,1,5,5,4,3,2,5,5,5,4,1,2,2,1,1,2,2,3,4,2,2,1,2,2,1,0,0,0,0,0,1,6,6,6,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,3142,1996,3951,5641,1935,2455,7702,6539,2253,1690,5260,4573,3341,4642,2651,2938,2921,13335,4341,2885,2412,2561,2597,3439,5113,2607,3787,5814,3501,2160,2626,3810,2532,2050,3408,2294,2140,2429,2407,6049,5302,3593,3688,2599,2542,4192,2682,3320,16572,22253,19642,19866,21291,17449,20321,25614,21079,16265,5623,29207,16845,13361,35735,18685,28581,16211,21485,20738,18016,16064,17467,29024,20358,9611,34900,28846,32660,22389,13579,22248,4871,7869,27991,18937,32344,21493,29852,43017,10204,23663,31353,14574,16364,16622,31816,25801,0,4,1,10,5,8,11,2,7,0.3204,0.74942,0.5981,4,4,5,4,5,4,5,4,4,1,1,1,4,3,4,4.16666666666667,4.5,4.5,1.16666666666667,3.66666666666667,0.042,1.0,0.833
135,18.0,2,2,4,5,5,3,4,4,4,5,4,5,2,3,5,4,4,4,3,2,2,2,2,2,2,4,4,2,4,1,2,2,1,0,0,0,0,0,2,6,5,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,3409,23298,2154,8297,1885,3994,4915,10648,3182,2561,7788,4424,1821,3354,8540,3489,3649,2830,5318,4288,2296,6454,1701,54662,2302,23294,3764,23467,2360,13551,2658,2886,3328,4705,23988,4144,1756,2482,1685,3282,3209,2107,11473,2990,1851,2248,1560,9721,9994,18494,26302,18675,13400,10606,25636,22005,8964,10722,16653,23787,15377,21634,21364,13585,23055,40301,23654,17668,14341,37375,25229,22908,34722,25868,24411,15597,26299,26631,17561,19942,16521,5153,25025,14781,22632,23388,15954,36914,18124,10664,24406,18110,24442,8747,29595,53879,0,4,1,12,5,8,11,0,7,0.43325,0.0,0.90688,4,3,3,4,2,4,4,2,4,3,2,2,4,4,4,3.66666666666667,4.16666666666667,4.0,2.0,4.0,0.25,0.875,0.667
136,18.0,2,2,4,4,5,4,4,4,1,5,4,4,2,2,5,5,5,4,4,2,2,2,1,2,4,4,4,2,2,1,3,2,1,0,0,0,0,0,2,2,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,1,1,2275,9880,2306,3707,3039,19193,10169,17681,3811,2511,9979,35649,3392,17008,6875,2541,27563,12216,2960,6374,5688,27198,2959,65956,4092,4227,10252,15840,4941,9671,4519,4445,6527,2772,38251,3008,12417,19808,3748,5074,19130,7621,28143,6568,2668,2971,2200,39589,14503,61638,37847,48156,17703,18991,69337,51735,18411,22878,42419,58102,34337,42268,92610,29779,81315,113661,48432,59767,99787,23029,63739,61620,33946,82479,64084,64268,51496,47078,18544,55898,43951,15590,45158,24493,43458,41944,19276,75706,51470,31411,34675,86814,40959,15030,37631,50216,0,10,1,11,4,2,11,1,8,0.66418,0.35854,0.46479,4,4,2,4,5,4,5,4,4,2,2,1,4,4,4,3.66666666666667,4.33333333333333,4.66666666666667,2.0,4.0,0.208,0.917,0.708
137,20.0,4,2,3,3,5,4,4,3,3,4,3,3,2,3,4,4,3,3,2,4,2,3,2,2,4,4,3,4,2,3,3,2,0,0,0,1,0,0,1,3,4,3,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1515,9017,1126,5905,10917,11861,8684,13903,1236,1277,2920,8376,1203,29239,4538,1411,2270,6213,2731,4565,1275,26606,1733,1976,1748,8169,2032,6410,1504,2840,1473,2703,17577,1101,2624,2339,1389,9992,2972,1489,2571,3737,7125,3799,1396,6661,1217,18107,5432,6718,8366,4768,9121,7566,15068,7490,7322,10314,8806,12094,6178,11266,8117,6721,8688,8430,10141,10061,7233,7605,12014,19284,11792,25547,15993,26136,20102,9548,8028,9269,11500,6250,17325,16063,7768,11803,7805,17958,8922,7222,15527,14609,9079,8594,15782,10408,0,8,2,11,5,4,10,1,7,0.5,0.33333,0.5,2,3,4,2,3,2,4,4,4,2,3,3,4,4,4,3.0,2.83333333333333,4.16666666666667,3.0,3.83333333333333,0.125,0.8,0.83
138,18.0,4,4,3,4,4,4,3,3,2,4,3,4,4,4,4,4,4,3,2,2,2,2,2,3,4,2,3,2,2,2,3,2,0,0,0,1,0,0,2,3,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2531,2073,10609,7368,7298,10916,11568,6894,3782,9975,9408,6027,4575,4307,2826,10221,6058,4875,5578,10876,7175,3198,4820,7402,8141,3150,2749,3541,3249,2763,3482,5917,4168,4829,12948,2740,4347,7395,2759,2862,2749,5238,9174,6018,2969,3519,2558,6031,2079,16907,1627,24751,1011,5622,7548,25378,2508,849,9711,27625,3440,4371,25101,1084,4934,7273,963,26020,2240,933,10304,31775,826,2518,44519,3780,29281,2371,876,2356,9340,839,27391,1812,2990,4124,785,57784,30857,879,22839,2213,2533,776,1267,27930,0,5,6,12,10,7,6,0,2,0.12182,0.0,0.54514,2,2,4,4,4,4,4,4,4,2,3,2,2,2,3,2.83333333333333,4.0,4.0,2.5,2.5,0.083,1.0,0.875
